Date,SO2 Flux
14-Feb-22,4225
16-Feb-22,2456
18-Feb-22,6366
18-Feb-22,6366
21-Feb-22,3551
23-Feb-22,4217
25-Feb-22,2612
25-Feb-22,2612
28-Feb-22,4382
2-Mar-22,8158
4-Mar-22,12114
7-Mar-22,7695
9-Mar-22,15990
11-Mar-22,15306
13-Mar-22,14524
14-Mar-22,13818
16-Mar-22,21211
17-Mar-22,11584
18-Mar-22,13370
21-Mar-22,6377
23-Mar-22,5751
25-Mar-22,6957
27-Mar-22,1140
28-Mar-22,4273
29-Mar-22,4474
30-Mar-22,6405
31-Mar-22,7856
1-Apr-22,2451
2-Apr-22,1232
3-Apr-22,470
4-Apr-22,265
6-Apr-22,255
7-Apr-22,109
8-Apr-22,103
13-Apr-22,213
15-Apr-22,155
18-Apr-22,380
20-Apr-22,5376
21-Apr-22,6042
22-Apr-22,6391
25-Apr-22,6020
27-Apr-22,5482
29-Apr-22,12943
30-Apr-22,9123
2-May-22,2301
4-May-22,2259
6-May-22,826
11-May-22,288
13-May-22,260
16-May-22,143
19-May-22,386
23-May-22,382
26-May-22,475
30-May-22,1338
2-Jun-22,1088
6-Jun-22,862
10-Jun-22,1994
13-Jun-22,2625
15-Jun-22,1584
17-Jun-22,1108
20-Jun-22,1493
23-Jun-22,2840
29-Jun-22,1761
1-Jul-22,1333
5-Jul-22,237
12-Jul-22,412
15-Jul-22,3645
18-Jul-22,2342
20-Jul-22,6327
22-Jul-22,5905
25-Jul-22,3272
27-Jul-22,3695
1-Aug-22,2306
3-Aug-22,12125
4-Aug-22,6239
5-Aug-22,4070
6-Aug-22,5419
7-Aug-22,17141
8-Aug-22,13098
9-Aug-22,6844
10-Aug-22,6099
11-Aug-22,13572
13-Aug-22,3945
14-Aug-22,4827
15-Aug-22,3802
16-Aug-22,4312
18-Aug-22,3818
19-Aug-22,7205
20-Aug-22,8097
21-Aug-22,5531
21-Aug-22,5531
22-Aug-22,1806
23-Aug-22,1511
25-Aug-22,595
26-Aug-22,527
29-Aug-22,56
31-Aug-22,47
5-Sep-22,3265
5-Sep-22,997
8-Sep-22,3265
13-Sep-22,1725
15-Sep-22,4301
19-Sep-22,5915
23-Sep-22,8107
27-Sep-22,2506
29-Sep-22,10718
30-Sep-22,7015
3-Oct-22,4431
7-Oct-22,2231
10-Oct-22,2089
13-Oct-22,3882
17-Oct-22,4422
20-Oct-22,6702
24-Oct-22,1403
27-Oct-22,544
3-Nov-22,2010
7-Nov-22,886
10-Nov-22,1019
14-Nov-22,1283
17-Nov-22,1286
21-Nov-22,2921
24-Nov-22,1150
28-Nov-22,2271
1-Dec-22,1965
5-Dec-22,2115
8-Dec-22,2318
12-Dec-22,2163
15-Dec-22,3216
16-Dec-22,3216
18-Dec-22,5854
22-Dec-22,2098
26-Dec-22,3891
4-Jan-23,4273
5-Jan-23,8575
9-Jan-23,3718
12-Jan-23,6298
19-Jan-23,6578
23-Jan-23,4026
26-Jan-23,4761
30-Jan-23,4228
2-Feb-23,4448
6-Feb-23,3063
10-Feb-23,4171
13-Feb-23,6574
16-Feb-23,4758
20-Feb-23,3964
23-Feb-23,2305
24-Feb-23,5582
27-Feb-23,4243
6-Mar-23,5176
16-Mar-23,3037
20-Mar-23,2225
23-Mar-23,4062
27-Mar-23,2999
30-Mar-23,2180
